Index,Word,Meaning,Synonyms,Conjugation,Searched,Unnamed: 6,,,,,,
567,asumini,ua dogo lenye rangi nyeupe lenye harufu nzuri na linalotumiwa kutengeneza kikuba,,,,Edit Word Delete Word Create a Question,,,,,,
568,asusa,kitafunio kinacholiwa kama kitangulia pombe au kiandama pombe ili kumtia mnywaji hamu zaidi,,,,Edit Word Delete Word Create a Question,,,,,,
569,atamia,lalia mayai,,"atamika, atamisha, atamiwa",,Edit Word Delete Word Create a Question,,,,,,
570,ateri,mshipa mkuu unaochukua damu kutoka moyoni,,,,Edit Word Delete Word Create a Question,,,,,,
571,athari,mabadiliko yanayoletwa na mtu au kitu kwa mtu au kitu kingine | walakini : Athari ya jicho.,"matokeo, kasoro, dosari",,,Edit Word Delete Word Create a Question,,,,,,
572,athiri,tia mtu dosari | sababishia mtu madhara fulani | shawishi mtu | tia ushawishi katika jambo fulani,,"athirika, athirisha, athiriwa",,Edit Word Delete Word Create a Question,,,,,,
573,ati!,tamko linaloonyesha shaka au mshangao kuhusu jambo au kitu fulani: Ati Joakimu amefariki! | tamko linaloonyesha dharau au kebehi katika jambo au kwa mtu: Ati Salimu naye kanunua gari! | tamko linalomwashiria mtu arudie alilosema: : Ati wasemaje? -> rudia,,,,Edit Word Delete Word Create a Question,,,,,,
574,atia,kitu ambacho mtu hujaaliwa kuwa nacho | zawadi,"kipawa, neema, talanta",,,Edit Word Delete Word Create a Question,,,,,,
575,atiati,hali ya kusitasita kabla ya kufanya lile mtu alilotakiwa kufanya,,,,Edit Word Delete Word Create a Question,,,,,,
576,atibu,shambulia mtu kwa kuonyesha makosa yake,kosoa,"atibika, atibisha, atibiwa",,Edit Word Delete Word Create a Question,,,,,,
577,atifali,neno linalomaanisha watoto katika ushairi,,,,Edit Word Delete Word Create a Question,,,,,,
578,atika,panda mche,,"atikika, atikisha, atikwa",,Edit Word Delete Word Create a Question,,,,,,
579,atili,fanya kitu kupoteza manufaa yake | shindwa kuona kitu ulichokuwa nacho au ulichokuwa unakiona,poteza,"atilia, atilika, atilisha, atiliwa",,Edit Word Delete Word Create a Question,,,,,,
580,atilika,"jeruhiwa (katika ajali), pata kilema, kuwa mtu mwenye ulemavu (kwa sababu ya maradhi) | haribika kwa sababu ya kutotumiwa",,"atilikia, atilikika, atilikisha",,Edit Word Delete Word Create a Question,,,,,,
581,atlasi,kitabu chenye michoro ya ramani mbalimbali,,,,Edit Word Delete Word Create a Question,,,,,,
582,atlasi,kitambaa laini na kinachonga''ara mfano wa hariri,satini,,,Edit Word Delete Word Create a Question,,,,,,
583,atomiki,-liotengenezwa au kuundwa kwa atomu : Marekani ilitumia bomu la atomiki kwenye visiwa vya Hiroshima na Nagasaki.,,,,Edit Word Delete Word Create a Question,,,,,,
584,atomu,sehemu ndogo zaidi ya kitu ambayo haiwezi kugawika tena,,,,Edit Word Delete Word Create a Question,,,,,,
585,atua,fadhaisha kwa habari za kushtua,,"atulia, atulika, atulisha, atuliwa",,Edit Word Delete Word Create a Question,,,,,,
586,au,"neno linalobainisha kitu kimoja kati ya viwili, neno linalobainisha jambo moja kati ya mawili : Utakapokwenda shambani chukua jembe au panga.",ama,,,Edit Word Delete Word Create a Question,,,,,,
587,aua,pitisha au mwagia maji ili kufanya kitu kitakate | ondoa najisi au uchafu,,"aulia, aulika, aulisha, auliwa",,Edit Word Delete Word Create a Question,,,,,,
588,aua,angalia kwa makini | weka mipaka | fuata,"kagua, pima","aulia, aulika, aulisha, auliawa",,Edit Word Delete Word Create a Question,,,,,,
589,aua,zaa matunda,,"aulia, aulika, aulisha, auliwa",,Edit Word Delete Word Create a Question,,,,,,
590,auka,"fanya moto uwake, waka na ungua kwa mfano kuni",,"aukika, aukisha",,Edit Word Delete Word Create a Question,,,,,,
591,auka,fanya kitu kiendelee au kistawi | (kwa kipindi cha kuomboleza) maliza | | fikia kiwango cha kutoa matunda | anza kazi mahali pengine,kuza,"aukia, aukika, aukisha, aukwa",,Edit Word Delete Word Create a Question,,,,,,
592,aula,bora zaidi, afadhali zaidi | umuhimu wa kwanza,kipaumbele,,,Edit Word Delete Word Create a Question,,,,,
593,aula,"-a nafasi ya kwanza, -a kutangulia : Ujenzi wa barabara ni aula katika mpango wa bajeti ya serikali mwaka huu.",,,,Edit Word Delete Word Create a Question,,,,,,
594,auladi,mzawa wa kiume katika ushairi,,,,Edit Word Delete Word Create a Question,,,,,,
596,auni,kitu kinachotolewa au jambo linalotendwa kama msaada,"muawana, nusura",,,Edit Word Delete Word Create a Question,,,,,,
597,aunsi,uzito ulio sawa na gramu 28.3,wakia,,,Edit Word Delete Word Create a Question,,,,,,
598,aushi,jumla ya mambo yanayomsibu mtu katika uhai wake | uhai wa mtu,maisha,,,Edit Word Delete Word Create a Question,,,,,,
599,aushi,"-a kuishi milele, -enye kuishi maisha marefu; -a kudumu : Nyumba aushi ni ile imejengwa kwa kutumia vifaa vya kudumu.",,,,Edit Word Delete Word Create a Question,,,,,,
600,auta,nyumba,"makazi, makao",,,Edit Word Delete Word Create a Question,,,,,,
601,aviza,-pa mtu msaada,auni,"avizia, avizika, avizisha, avizwa",,Edit Word Delete Word Create a Question,,,,,,
602,avya,tumia kitu kwa mfano fedha kwa fujo : Avya fedha, Avya mali | fanya mimba itoke : Serikali yetu imepiga marufuku kuavya mimba.,fuja,"avyika, avyisha, avywa",,Edit Word Delete Word Create a Question,,,,,
603,awa,toka : Awa damu, Awa jasho,churuzika,"awia, awika, awisha",,Edit Word Delete Word Create a Question,,,,,
604,awali,mwanzo,,,,Edit Word Delete Word Create a Question,,,,,,
605,awali,-a kwanza: George alikuwa mtu wa awali kufika darasani.,,,,Edit Word Delete Word Create a Question,,,,,,
606,awali,"kwanza, kwa kuanzia | zamani, siku za nyuma",,,,Edit Word Delete Word Create a Question,,,,,,
607,awamu,kipindi cha muda fulani: Awamu ya pili.,,,,Edit Word Delete Word Create a Question,,,,,,
608,awesia,dau,,,,Edit Word Delete Word Create a Question,,,,,,
609,awidhi,nasihi watu kufanya mambo mema au kuwa na maadili mazuri,,"awidhiana, awidhisha, awidhika, awidhiwa",,Edit Word Delete Word Create a Question,,,,,,
610,aya,fungu la maneno lenye maana kamili | fungu la maneno katika sura,paragrafu,,,Edit Word Delete Word Create a Question,,,,,,
611,ayale,mnyama kama pongo au mbawala,,,,Edit Word Delete Word Create a Question,,,,,,
612,ayali,familia,"ndugu, ukoo",,,Edit Word Delete Word Create a Question,,,,,,
614,ayari,kamba inayofunga nanga ambayo huteremshwa na kuvutwa kwa kutumia kapi katika chombo kikubwa cha majini,,,,Edit Word Delete Word Create a Question,,,,,,
615,ayari,mtu mdanganyifu,"laghai, tapeli",,,Edit Word Delete Word Create a Question,,,,,,
616,azali,"-sio na mwanzo, -a daima",,,,Edit Word Delete Word Create a Question,,,,,,
617,azima,"omba kitu ili ukitumie, kisha ukirudishe | toa kitu ili urudishiwe","kopa, kopesha","azimana, azimisha, azimwa",,Edit Word Delete Word Create a Question,,,,,,
618,azima,dawa za kienyeji za kukinga madhara yoyote hususan talasimu au hirizi,,,,Edit Word Delete Word Create a Question,,,,,,
619,azimia,amua au kusudia kufanya jambo,dhamiria,,,Edit Word Delete Word Create a Question,,,,,,
620,azimio,dhamiri ya kufanya jambo.,tamko,,,Edit Word Delete Word Create a Question,,,,,,
621,azimu,amua kutenda jambo,,"azimia, azimika, azimisha, azimiwa",,Edit Word Delete Word Create a Question,,,,,,
622,azimu,tengenezea mtu dawa hususan talasimu au hirizi,,,,Edit Word Delete Word Create a Question,,,,,,
623,AZISE,kifupisho cha Asasi Zisizo za Serikali,,,,Edit Word Delete Word Create a Question,,,,,,
624,azizi,kitu cha thamani | laazizi,"nadra, mpenzi",,,Edit Word Delete Word Create a Question,,,,,,
625,azizi,"-enye thamani, -a nadra",,,,Edit Word Delete Word Create a Question,,,,,,
626,azma,kusudio la kutenda jambo | lengo au jambo ambalo mtu anapanga kulifanya,,,,Edit Word Delete Word Create a Question,,,,,,
628,baa,"jambo, kitu au mtu anayefikiriwa kuleta maafa au hasara fulani.","balaa, mkosi, nuksi, nuhusi, beluwa, kisirani",,,Edit Word Delete Word Create a Question,,,,,,
629,baa,"mahali maalumu ambapo huuzwa na kunywewa vileo kwa mfano bia, mvinyo na vinywaji vikali",,,,Edit Word Delete Word Create a Question,,,,,,
630,baa,pigo la mguu analolifanya mtu aliyelala,,,,Edit Word Delete Word Create a Question,,,,,,
631,baada,muda ufuatao wakati maalumu unaorejelewa : Baada ya Kristo -> (BK) miaka iliyofuata kuzaliwa kwa Yesu Kristo : Ghana ilipata uhuru mwaka wa 1957 Baada ya Kristo.,"halafu, kisha",,,Edit Word Delete Word Create a Question,,,,,,
632,baadaye,muda mfupi ujao : Kwa sasa naenda sokoni lakini nitakuja kwako baadaye.,kisha,,,Edit Word Delete Word Create a Question,,,,,,
633,baadhi,sehemu ya vitu vingi au watu wengi: Baadhi ya wanafunzi wa Kidato cha Nne hawajalipa karo. | upande: Wamehamia baadhi za magharibi mwa Kenya.,"eneo, mahali",,,Edit Word Delete Word Create a Question,,,,,,
634,baasili,"ugonjwa wa kuvimba kuta za puru na kutoka nje, unaosababishwa na msukumo mkubwa wa damu katika mishipa ya neva ndani ya puru","futuri, kikundu",,,Edit Word Delete Word Create a Question,,,,,,
635,baathi,"rudishia watu waliokufa uhai siku ya kiyama: Kristo atakaporudi, wafu wote watabaathiwa. | tunukiwa utume",,"baathika, baathisha, baathiwa",,Edit Word Delete Word Create a Question,,,,,,
636,baba,mzazi wa kiume : Mume wa mama ni baba. Baba mdogo -> ndugu wa kiume aliye mdogo wa baba. : Baba mkubwa -> ndugu wa kiume aliye mkubwa wa baba, : Baba mzazi -> baba aliyekuzaa, : Baba wa kambo -> mwanamume amleaye mtoto ambaye hakumzaa bali ni wa mkewe, :,abu,,,Edit Word Delete Word Create a Question,,,
637,babadua,umbua sura ya kitu kwa kukipinda kwa makusudi au kwa maradhi | achanisha vitu vilivyoshikamana kwa mfano maganda ya mti kwa kutumia nguvu,"songoa, popotoa, nyonga","babaduka, babadulia, babaduliwa",,Edit Word Delete Word Create a Question,,,,,,
638,babaifu,"-enye wasiwasi, -siokuwa makini",,,,Edit Word Delete Word Create a Question,,,,,,
639,babaika,"kosa utulivu na umakini, kuwa na taharuki | zungumza katika ndoto","weweseka, hohosa, wahaka",babaikia,,Edit Word Delete Word Create a Question,,,,,,
640,babaiko,"tendo la kubabaika, kutokuwa na umakini wa mawazo",kimuyemuye,,,Edit Word Delete Word Create a Question,,,,,,
641,babaisha,"fanya jambo ovyoovyo, fanya jambo bila uhodari kwa kutolifahamu vizuri | danganya","babia, bambanya","babaishana, babaishia, babaishika, babaishwa",,Edit Word Delete Word Create a Question,,,,,,
642,babaisha,"tia hangaiko, -pa mtu wasiwasi usio na msingi",,,,Edit Word Delete Word Create a Question,,,,,,
643,babaishana,"tendo la pande mbili kutiana wasiwasi, kutishana au kudanganyana",,,,Edit Word Delete Word Create a Question,,,,,,
644,babaishwa,"fanyiwa jambo usilolijua kikamilifu, tiwa jakamoyo",,,,Edit Word Delete Word Create a Question,,,,,,
645,babaje,aina ya konokono wa baharini,kojojo,,,Edit Word Delete Word Create a Question,,,,,,
646,babaka,vutana katika mazungumzo,bishana,"babakia, babakisha, babakiwa",,Edit Word Delete Word Create a Question,,,,,,
647,babakrismasi,"mzee wa kiume wa kubuniwa mwenye nywele na ndevu ndefu nyeupe na koti jekundu, anayeaminika na watoto kuwa huwaletea zawadi wakati wa Krismasi iwapo watakuwa watiifu",,,,Edit Word Delete Word Create a Question,,,,,,
648,babata,pigapiga kitu kwa mfano bati ili kukisawazisha,kong'ota,"babatia, babatika, babatisha, babatwa",,Edit Word Delete Word Create a Question,,,,,,
649,babataa,-siyoumuka au -siyonenepa kama inavyotakiwa,,,,Edit Word Delete Word Create a Question,,,,,,
650,babatana,shikamana kwa vitu viwili au zaidi baada ya kushindiliwa,,"babatania, babatanika, babatanisha",,Edit Word Delete Word Create a Question,,,,,,
651,babatua,,,,,Edit Word Delete Word Create a Question,,,,,,
652,babe,"mtu mkubwa sana kuliko wa kawaida, jitu nene lililo na nguvu, pandikizi la mtu",,,,Edit Word Delete Word Create a Question,,,,,,
653,Babeli,mji unaosemekana kuwa ndipo Mungu alipotenganisha lugha za binadamu,,,,Edit Word Delete Word Create a Question,,,,,,
654,babewana,ndege mwenye macho makubwa na ya duara anayedhaniwa kuwa huleta msiba,"bumu, bundi",,,Edit Word Delete Word Create a Question,,,,,,
655,babia,babaisha,bambanya,,,Edit Word Delete Word Create a Question,,,,,,
656,babia,"kitu au kitendo kinachofanywa kidogokidogo, juujuu bila ya kutosheleza: Mchuzi uliomwekea ni wa kubabiababia tu. haukutosha: Hakupaka rangi ila amebabiababia tu.",,"babiana, babilia, babiliana, babilisha, babiliwa",,Edit Word Delete Word Create a Question,,,,,,
657,babu,mzazi wa kiume wa baba au mama | mwanamume mzee | neno la kuitana wanalotumia wanawake,,,,Edit Word Delete Word Create a Question,,,,,,
658,babu,mwanamume anayeongoza kikundi cha umoja wa ngoma za wanawake | mwanamume anayetoa ushauri katika kikundi cha wanawake: Mdee ndiye babu katika Chama cha Wanawake Wajane.,,,,Edit Word Delete Word Create a Question,,,,,,
659,babu,ugonjwa uwashikao watoto unaofanana na kifafa,"dege, degedege",,,Edit Word Delete Word Create a Question,,,,,,
660,babu,kipimo cha uzito au upana wa kitambaa: Mafundi hushona nguo za kazi kwa kutumia kitambaa cha babu kubwa.,,,,Edit Word Delete Word Create a Question,,,,,,
661,babu,"mlango wa kitabu wenye mada kamili, sura ya kitabu: Ukisoma babu ya pili ya riwaya ya Kiu utayaelewa matatizo ya mhusika Mwinyi.",,,,Edit Word Delete Word Create a Question,,,,,,
662,babua,"ambua ngozi ya mtu au mnyama kwa maji moto, joto, moto au ugonjwa | unguza kitu kijuujuu tu bila ya kuivisha kabisa: Hajui kuchoma mahindi vizuri bali huyababua tu.",chunua,"babuana, babulika, babulia, babuliwa, babulisha",,Edit Word Delete Word Create a Question,,,,,,
663,babuka,"chubuka katika ngozi kwa sababu ya magonjwa, moto na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
664,babukubwa,-enye kiwango kikubwa: Amenunua gari babukubwa.,,,,Edit Word Delete Word Create a Question,,,,,,
665,babundogo,-enye kiwango kidogo: Nyumba ya Juma ni babundogo tu.,,,,Edit Word Delete Word Create a Question,,,,,,
666,babuzi,kitu kinachotumiwa katika kubabua kitu kingine,,,,Edit Word Delete Word Create a Question,,,,,,
667,bacha,uwazi ulioachwa katika ukuta ili kuwekea vitu,"daka, shubaka",,,Edit Word Delete Word Create a Question,,,,,,
668,bachu,gololi iliyochakaa na kuwa na mapengo mengi,buchuru,,,Edit Word Delete Word Create a Question,,,,,,
669,bada,ugali wa unga wa ndizi au muhogo uliokaushwa,,,,Edit Word Delete Word Create a Question,,,,,,
670,badala,neno linaloonyesha kitu kinachochukua nafasi ya kitu kingine : Amekuja badala ya mkuu wake.,badili,badili,,Edit Word Delete Word Create a Question,,,,,,
671,badamu,"sehemu ya ndani katika kokwa ya tunda kwa mfano embe, kungu na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
672,badani,sehemu ya kanzu ambayo iko mbele kifuani au nyuma mgongoni,,,,Edit Word Delete Word Create a Question,,,,,,
673,badhiri,tumia mali kwa njia ya uharibifu,"fuja, fisidi","badhirika, badhirisha, badhiriwa.",,Edit Word Delete Word Create a Question,,,,,,
674,badili,weka kitu au mtu mahali fulani badala ya kitu au mtu mwingine: Alibadili nguo aliyokuwa amevaa na kuvaa nyingine. | toa kitu fulani kwa kusudi la kupata kingine badala yake: Msafiri amebadili shilingi na kupata dola.,,badiliwa,,Edit Word Delete Word Create a Question,,,,,,
675,badilifu,"-enye kubadilikabadilika, -enye kugeukageuka, -sio na msimamo, -enye hadaa: Hali ya hewa mjini New York ni badilifu sana; mara jua mara mvua.",,,,Edit Word Delete Word Create a Question,,,,,,
676,badilisha,weka kitu badala ya kingine kilichopo | geuza sura au maumbile: Rangi hii imelibadilisha jengo hili.,,"badilishana, badilishia, badilishwa, badilishika",,Edit Word Delete Word Create a Question,,,,,,
677,badilisho,"tendo la ubadilishaji, hali ya kugeuza kitu au jambo kutoka uasilia wake hadi kulipa umbo na sura mpya",,,,Edit Word Delete Word Create a Question,,,,,,
678,badilishwa,"geuzwa, fanyiwa mabadiliko | fanyiwa kitendo cha kutoa kitu cha awali na kuweka kingine",,,,Edit Word Delete Word Create a Question,,,,,,
679,badiri,"mambo ya kustaajabisha; maajabu ya mbinguni | mwezi unapotoa mwangaza mwingi, mbalamwezi kubwa",,,,Edit Word Delete Word Create a Question,,,,,,
680,badiria,kisomo kinachosomwa na baadhi ya wanaoamini kwa lengo la ama kumdhuru aliyefanya jambo baya au kuweka kinga dhidi ya ubaya wowote,,,,Edit Word Delete Word Create a Question,,,,,,
681,bado,wakati wake haujawadia: Matunda bado machanga. | hadi sasa: Wanafunzi wanangoja bado.,,,,Edit Word Delete Word Create a Question,,,,,,
682,bafe,aina ya nyoka wa madoadoa anayetema mate yenye sumu,moma,,,Edit Word Delete Word Create a Question,,,,,,
683,bafta,kitambaa cheupe kilichotengenezwa kwa pamba,,,,Edit Word Delete Word Create a Question,,,,,,
684,bafu,chumba kilichotengwa maalumu kwa ajili ya kuogea | beseni kubwa la kuogea lenye umbo kama hori,,,,Edit Word Delete Word Create a Question,,,,,,
685,baghala,"aina mojawapo ya jahazi lenye milingoti miwili, tezi pana na kunakshiwa vizuri",,,,Edit Word Delete Word Create a Question,,,,,,
686,baghala,mnyama ambaye ni chotara wa punda na farasi na hana uwezo wa kuzaa.,nyumbu,,,Edit Word Delete Word Create a Question,,,,,,
687,baghami,mtu aliyepungukiwa na akili,"mpumbavu, zuzu",,,Edit Word Delete Word Create a Question,,,,,,
688,bagua,"tenga watu kwa misingi ya rangi, tabaka, kabila, jinsi na kadhalika | tenga kitu na kukiweka mbali na kingine",,"baguana, bagulia, bagulika, baguliwa",,Edit Word Delete Word Create a Question,,,,,,
689,bahaimu,mnyama wa kufugwa au pori mwenye miguu minne | mtu anayefanya mambo yasiyo na maana yoyote,mpuuzi,,,Edit Word Delete Word Create a Question,,,,,,
690,bahaluli,"mtu juha, zuzu, mjinga asiyetumia akili vyema",,,,Edit Word Delete Word Create a Question,,,,,,
691,bahameli,"kitambaa chororo kilichotengenezwa kwa pamba, hariri au nailoni chenye nyuzi ndogondogo upande mmoja",,,,Edit Word Delete Word Create a Question,,,,,,
692,bahari,mkusanyiko mkubwa wa maji ya chumvi yanayozunguka mabara ya ulimwengu na visiwa | kitu kikubwa au kipana: Ana bahari ya shamba. | mtu mwenye utaalamu mwingi kutokana na elimu na ujuzi akisamiwake,,,,Edit Word Delete Word Create a Question,,,,,,
693,bahari,"kina cha mwisho cha utenzi kisichobadilika | aina mojawapo ya tungo za ushairi kwa mfano kisarambe, zivindo, ukawafi na kadhalika",,,,Edit Word Delete Word Create a Question,,,,,,
694,baharia,"mtu anayejishughulisha na kazi katika vyombo vya majini, kwa mfano meli, mashua, merikebu au boti kubwa",,,,Edit Word Delete Word Create a Question,,,,,,
695,bahasa,"-a bei ya chini, -sio ghali, -a bei rahisi",,,,Edit Word Delete Word Create a Question,,,,,,
696,bahasha,mfuko uliotengenezwa kwa njia maalumu na unatumiwa kutumia barua au ujumbe ulioandikwa katika karatasi | kifurushi,,,,Edit Word Delete Word Create a Question,,,,,,
697,bahashika,"kuwa na wasiwasi kutokana na kujiingiza kwenye mienendo iliyopotoka | kutojua la kufanya, kuwa na wasiwasi",duwaa,,,Edit Word Delete Word Create a Question,,,,,,
698,bahashishi,kitu anachopewa mtu kama zawadi kwa kazi nzuri aliyoifanya | malipo ya ziada anayopewa mtu baada ya kupewa mshahara baada ya kupewa mshahara,kiinuamgongo,,,Edit Word Delete Word Create a Question,,,,,,
699,bahati,hali ya mafanikio : Juma ana bahati kwani kila anachofanya anafaulu. | tukio zuri au baya,"nyota, jaha, neema, heri, nujumu, fali, sudi",,,Edit Word Delete Word Create a Question,,,,,,
700,bahati nasibu,mchezo wa kupata kitu kwa kubahatisha | mafanikio yasiyo na uhakika: Mwanafunzi alifaulu kwa bahati nasibu.,,,,Edit Word Delete Word Create a Question,,,,,,
701,bahatika,"tokewa na jambo zuri, patwa na jaala njema",,,,Edit Word Delete Word Create a Question,,,,,,
702,bahatisha,jaribu kufanya au kupata kitu bila ya kuwa na hakika ya kupata,,bahatishwa,,Edit Word Delete Word Create a Question,,,,,,
703,bahatisho,hali au tendo la kujaribu kupata kitu bila ya uhakika wa kukipata,,,,Edit Word Delete Word Create a Question,,,,,,
704,bahau,mtu ambaye ni mgumu sana kuelewa mambo hata akielezwa,"mpumbavu, zuzu, baghami, bozi",,,Edit Word Delete Word Create a Question,,,,,,
705,bahili,mtu asiyependa kutumia au kutoa vitu vyake kwa wengine,"mbanifu, mchoyo, kisangati",,,Edit Word Delete Word Create a Question,,,,,,
706,bahili,mwenye uchoyo,"banifu, kabidhi",,,Edit Word Delete Word Create a Question,,,,,,
707,bahimu,,,,,Edit Word Delete Word Create a Question,,,,,,
708,bai,chagua mtu kuwa kiongozi | unga mtu mkono kwa jambo analokusudia kulifanya bailiwa,,bailiwa,,Edit Word Delete Word Create a Question,,,,,,
709,baibui,"vazi refu lenye rangi nyeusi linalovaliwa na wanawake aghalabu wa mwambao juu ya nguo za kawaida, hasa wanapotoka nje ya nyumba",,,,Edit Word Delete Word Create a Question,,,,,,
710,baidhati,(hutumika kwa mwanamke) mwenye sura nzuri na ngozi nyeupe,abyadhi,,,Edit Word Delete Word Create a Question,,,,,,
711,baidi,"kitambo kirefu,sio karibu : Kwao si baidi na kwetu.",mbali,,,Edit Word Delete Word Create a Question,,,,,,
712,baidi,"mbali kinasaba: Huyu ni mtu baidi, hatuhusiani kwa vyovyote.",,,,Edit Word Delete Word Create a Question,,,,,,
713,baidika,"kuwa mbalimbali, kuwa mbali na, kaa kando","jitenga, jibari, jitanibu",,,Edit Word Delete Word Create a Question,,,,,,
714,baina,"kati | mojawapo | miongoni baina ya kati ya, mojawapo ya, miongoni mwa watu wawili au mojawapo kati ya vitu viwili au zaidi",,,,Edit Word Delete Word Create a Question,,,,,,
715,bainda,kifaa cha kubana karatasi,,,,Edit Word Delete Word Create a Question,,,,,,
716,baini,fahamu jambo lililokuwa halijulikani,"maizi, ng'amua","bainika, bainisha, bainiwa",,Edit Word Delete Word Create a Question,,,,,,
717,bainifu,"iliyo wazi, isiyofichika | -enye sifa maalumu : Sifa bainifu za lugha.",dhahiri,,,Edit Word Delete Word Create a Question,,,,,,
718,bainika,julikana wazi: Imebainika kuwa Jelimo ni mkimbiaji hodari,dhihirika,bainikia,,Edit Word Delete Word Create a Question,,,,,,
719,bainisha,onyesha wazi | onyesha tofauti kt <ele>,dhihirisha,"bainishia, bainishiana, bainishika, bainishwa",,Edit Word Delete Word Create a Question,,,,,,
720,bairi,mnyama mkubwa mwenye nundu atumikaye katika safari za jangwani,ngamia,,,Edit Word Delete Word Create a Question,,,,,,
721,baiskeli,chombo cha usafiri chenye magurudumu mawili au matatu ambacho kuendeshwa kwake kunategemea kuzungushwa pedeli kwa miguu yote miwili,,,,Edit Word Delete Word Create a Question,,,,,,
722,baiti,makazi,"maskani, manzili",,,Edit Word Delete Word Create a Question,,,,,,
723,bajeti,"makisio ya matumizi atakayofanya mtu, shirika na kadhalika kulingana na mapato yake",,,,Edit Word Delete Word Create a Question,,,,,,
724,bajia,andazi dogo linalotengenezwa kwa unga wa kunde au dengu na pilipili,,,,Edit Word Delete Word Create a Question,,,,,,
725,Bajuni,jamii ya watu wanaoishi pwani ya Kaskazini mwa Kenya,,,,Edit Word Delete Word Create a Question,,,,,,
726,baka,"doa au alama iliyo juu ya kitu, mwili wa mtu au mnyama","paku, bato",,,Edit Word Delete Word Create a Question,,,,,,
727,baka,fanya ngono na mtu kwa nguvu bila ya hiari yake,"najisi, bamba","bakana, bakia, bakika, bakisha, bakwa",,Edit Word Delete Word Create a Question,,,,,,
728,baka,chukua kitu cha mtu kwa nguvu bila hiari yake,"kwapua, ng'wafua",,,Edit Word Delete Word Create a Question,,,,,,
729,bakaa,mabaki ya vitu baada ya matumizi | fedha zinazobaki baada ya matumizi,"masazo,baki, halibaki",,,Edit Word Delete Word Create a Question,,,,,,
730,bakalhadi,dawa inayopatikana kutokana na utomvu wa mti fulani ambayo huponya magonjwa ya tumbo au riahi,,,,Edit Word Delete Word Create a Question,,,,,,
731,bakari,mnyama kama nyati anayefugwa na anayetoa maziwa yanayonywiwa na binadamu na nyama yake huliwa,ng'ombe,,,Edit Word Delete Word Create a Question,,,,,,
732,bakaya,mnyamapori mwenye mabaka na anayefanana na fisi akaaye karibu na mji,,,,Edit Word Delete Word Create a Question,,,,,,
733,bakaya,,,,,Edit Word Delete Word Create a Question,,,,,,
734,baki,kutomalizika kabisa | achwa mahali fulani na wengine,salia,"bakia, bakika, bakisha/ bakiza",,Edit Word Delete Word Create a Question,,,,,,
735,baki,"sehemu ya kitu iliyosalia baada ya kutumiwa, kugawanywa au kutolewa | mtu baki mtu wa pembeni asiyehusishwa na mambo ya ukoo","sazo, ifu, salio,mgeni",,,Edit Word Delete Word Create a Question,,,,,,
737,bakiza,kutomaliza kutumia kitu kabisa,"saza, cheleza",,,Edit Word Delete Word Create a Question,,,,,,
738,bako,"sehemu ya mkono yenye vidole, kiganja cha mkono | kiasi cha kitu kinachotosha kipimo cha kiganja cha mkono","gao, konzi, ukufi, kitanga",,,Edit Word Delete Word Create a Question,,,,,,
739,bakoli,"kifungo cha madini cha kufungia mkanda | kifungo cha madini kinachofungwa na wanawake juu ya vazi kama pambo, hasa kifuani",bruchi,,,Edit Word Delete Word Create a Question,,,,,,
740,bakora,fimbo iliyopinda sehemu ya kushikia inayotumiwa kutembelea | pigo la fimbo ya kutembelea | zawadi inayotolewa na mzazi kwa fundi anayemfundisha mwanawe ufundi fulani | andazi,,,,Edit Word Delete Word Create a Question,,,,,,
741,bakteria,kiumbe mdogo sana anayeonekana kwa hadubini tu na ambaye wakati mwingine husababisha ugonjwa kwa binadamu na wanyama,"kijasumu, kimelea",,,Edit Word Delete Word Create a Question,,,,,,
742,bakua,"nyanga'anya mtu kitu | piga, zaba : Askari alimbakua mwizi makofi.","bekua, pokonya, pora","bakuana, bakulika, bakuliwa",,Edit Word Delete Word Create a Question,,,,,,
743,bakuli,"chombo cha duara chenye kina kinachotengenezwa kwa bati, udongo, glasi au plastiki kinachotumiwa kutilia mchuzi au kitoweo",,,,Edit Word Delete Word Create a Question,,,,,,
744,bakunja,baradhuli,"bahaluli, mpumbavu, bozi, bahau",,,Edit Word Delete Word Create a Question,,,,,,
745,balaa,"jambo, kitu au mtu anayefikiriwa kuleta maafa, mkosi au hasara | jambo lenye kuleta hali ya kutoelewana","kisirani, nuksi, mkosi, nuhusi, kizaazaa, mtafaruku, beluwa",,,Edit Word Delete Word Create a Question,,,,,,
746,baladi,,,,,Edit Word Delete Word Create a Question,,,,,,
747,balagha,ufundi wa matumizi ya lugha kwa nia ya kumfanya msikilizaji ashawishike au afurahi,,,,Edit Word Delete Word Create a Question,,,,,,
748,balaghamu,mate mazito yanayokuwa kooni ambayo hutoka mtu anapokohoa,kohozi,,,Edit Word Delete Word Create a Question,,,,,,
749,balari,"kifaa cha chuma aina ya patasi kilicho bapa chenye mpini upande mmoja, na makali mwishoni upande wa pili kinachotumiwa kutobolea na kuchongea mbao","churusi, juba",,,Edit Word Delete Word Create a Question,,,,,,
